G5oh_A01_n4	G6oh_A02_n3	G6oh_A03_n6	G6oh_A03_n7	G6oh_A03_n3	G7oh_A03_n4	G8oh_A01_n2	G8oh_A01_n3	G8oh_A03_n3
28.5954	63.9418	33.1328	28.2723	33.39088	36.0676	188.783	41.2352	23.0259
28.7561	64.159	33.4116	28.3788	33.54296	36.1745	189.214	41.5057	23.115
28.8598	64.4276	33.5782	28.5022	33.70641	36.3054	190.995	41.7791	23.3438
28.9706	64.7104	33.7233	28.5862	33.8735	36.5185	191.852	41.9782	23.4032
29.1551	64.9988	33.8463	28.759	34.01497	36.6173	192.925	42.1282	23.4644
29.3098	65.2496	34.0988	28.8851	34.12769	36.6742	192.968	42.3584	23.5446
29.4646	65.5322	34.2175	29.0146	34.29393	36.7929	193.033	42.6112	23.5706
29.5978	65.8834	34.38	29.1333	34.41888	36.8845	194.594	42.7499	23.6694
29.8078	66.0944	34.54	29.2595	34.58265	37.0106	194.97	42.9994	23.7313
29.9075	66.3649	34.6918	29.3369	34.72512	37.1118	195.966	43.1767	23.7513
30.0837	66.6911	34.8003	29.467	34.85976	37.2654	196.047	43.3646	23.8665
30.185	66.9097	35.0534	29.5783	34.94392	37.3453	197.612	43.4606	24.0174
30.3068	67.2171	35.2034	29.6854	35.10857	37.4946	198.713	43.6148	24.1314
30.4452	67.5058	35.4445	29.7902	35.2284	37.5648	199.834	43.7538	24.1531
30.5713	67.8084	35.5302	29.9192	35.45816	37.6526	200.001	43.9489	24.4491
30.6441	68.0584	35.781	30.0195	35.58073	37.7814	200.28	44.0859	24.5041
30.821	68.3218	35.8624	30.1799	35.71296	37.8842	201.157	44.3718	24.5348
30.9254	68.5585	35.9543	30.2973	35.83104	37.9944	201.903	44.6142	24.6046
31.0214	68.9577	36.0625	30.3658	35.99065	38.1001	202.958	44.8493	24.7091
31.1474	69.2161	36.1951	30.5099	36.13432	38.1775	203.167	45.1421	24.7286
31.3353	69.5353	36.5277	30.6403	36.29417	38.304	204.166	45.4014	24.7888
31.4297	69.7906	36.6777	30.724	36.48433	38.447	204.334	45.594	24.8198
31.569	70.1734	36.8918	30.8022	36.58913	38.5233	204.802	45.8413	25.0886
31.6878	70.4407	37.0466	30.9326	36.76513	38.6822	205.672	46.0788	25.1098
31.8114	70.6875	37.1905	31.0396	36.88961	38.7731	205.75	46.2326	25.1838
32.0322	71.0128	37.493	31.2041	37.03952	38.8883	206.41	46.4179	25.2413
32.1199	71.3192	37.6182	31.323	37.17353	38.9398	207.114	46.6504	25.4822
32.2426	71.6078	37.7499	31.4114	37.35632	39.0797	207.601	46.8246	25.5134
32.3921	71.8922	37.9549	31.5702	37.52057	39.1924	207.653	47.0647	25.6162
32.5251	72.1267	38.0984	31.6693	37.64848	39.3328	207.783	47.2374	25.7123
32.624	72.4827	38.3205	31.7623	37.82449	39.4158	207.885	47.4994	25.8259
32.7611	72.7901	38.5026	31.8578	37.97017	39.5277	209.397	47.6498	25.851
32.9778	73.0716	38.7352	31.9903	38.13041	39.6395	209.505	47.8979	25.8985
33.1212	73.4051	38.9023	32.1129	38.27977	39.9649	209.631	48.1073	26.3816
33.2238	73.778	39.0454	32.2248	38.42065	40.0437	209.705	48.3018	26.4546
33.3794	74.0079	39.1518	32.3554	38.5676	40.1225	211.454	48.4501	26.4878
33.5822	74.3134	39.3972	32.4748	38.74865	40.3858	211.548	48.698	26.5503
33.6655	74.6579	39.5094	32.5709	38.86592	40.5783	212.156	48.8449	26.5807
33.8149	74.9398	39.6942	32.7242	39.06697	40.6294	212.899	48.9962	26.6591
33.9215	75.2383	39.838	32.8266	39.23409	40.9111	213.026	49.2125	27.8035
34.0596	75.5688	40.0942	32.9308	39.39513	40.9856	214.236	49.3682	28.4142
34.1606	75.9016	40.2342	33.0442	39.52032	41.081	214.357	49.575	28.5058
34.328	76.1826	40.4235	33.1477	39.61008	41.205	214.632	49.829	28.5575
34.4284	76.4744	40.575	33.2662	39.80624	41.2628	215.494	50.2212	28.6437
34.679	76.7506	40.6907	33.3996	39.90409	41.4121	215.701	50.427	28.6952
34.8129	77.0166	40.8366	33.5142	40.07417	41.5017	215.784	50.7326	28.9626
34.9091	77.3839	41.0895	33.6578	40.24321	41.6255	217.023	50.901	29.5027
35.0357	77.735	41.1798	33.8002	40.40585	41.7398	217.384	51.1136	29.6005
35.1354	77.9689	41.3247	33.9154	40.52824	41.8386	217.606	51.4314	29.99
35.2736	78.3168	41.433	33.9901	40.62185	41.9461	218.352	51.812	30.1619
35.4387	78.5372	41.6154	34.1615	40.77433	42.0261	218.415	52.0606	30.4446
35.5769	78.8025	41.7042	34.2891	40.85777	42.1272	218.443	52.2926	30.6623
35.6546	79.1581	41.7998	34.4042	41.01889	42.2875	219.51	52.4898	30.8922
35.8021	79.4526	41.9582	34.5001	41.16088	42.3866	219.745	52.7169	30.9416
35.9603	79.7124	42.0757	34.6038	41.31649	42.553	220.523	52.929	31.5522
36.0933	80.0815	42.3082	34.8511	41.44408	42.6124	220.924	53.1502	31.7354
36.2049	80.3917	42.3971	34.9986	41.64729	42.7532	221.279	53.3359	32.2411
36.3183	80.5987	42.5451	35.072	41.75745	42.8165	221.405	53.5332	32.3918
36.4382	80.9227	42.6442	35.1975	41.88345	42.907	222.331	53.7482	32.4762
36.5973	81.1802	42.9326	35.3694	42.05521	43.0065	222.478	53.988	32.5722
36.7354	81.4218	42.9957	35.4515	42.20905	43.1191	223.507	54.2221	33.0426
36.8246	81.7415	43.167	35.6475	42.33953	43.1966	223.689	54.4809	33.0871
36.9588	82.0648	43.2625	35.7366	42.5176	43.3031	224.284	54.6746	33.1487
37.1479	82.295	43.4795	35.8532	42.61641	43.4033	224.441	54.9515	33.6161
37.2418	82.6536	43.6554	35.9838	42.74569	43.5794	224.625	55.1407	33.6948
37.4802	82.937	43.7746	36.0648	42.88008	43.6858	225.479	55.3347	33.757
37.5712	83.2296	44.0106	36.1762	43.11544	43.8006	225.624	55.6088	33.8322
37.6632	83.5386	44.1765	36.3106	43.22808	43.8876	225.736	55.8774	34.4545
37.8385	83.7954	44.3355	36.4505	43.42873	43.9486	225.783	56.0438	34.6805
37.9567	84.111	44.4915	36.5894	43.57833	44.0698	225.834	56.2418	34.8547
38.071	84.3336	44.6942	36.6806	43.68489	44.1364	227.37	56.3874	34.9051
38.2107	84.6103	44.9051	36.797	43.79425	44.2734	227.523	56.6182	35.2531
38.4254	84.8874	45.0035	36.9096	43.93225	44.4478	227.625	56.8495	35.3291
38.5428	85.1507	45.1329	37.1154	44.02288	44.5062	227.727	57.0446	35.7502
38.6614	85.4464	45.2768	37.1982	44.23648	44.5883	229.091	57.2152	35.9334
38.8584	85.7738	45.509	37.286	44.39201	44.9057	229.215	57.4119	36.0824
38.9441	86.0621	45.7114	37.4691	44.5676	44.99	230.057	57.6706	36.1846
39.0502	86.2806	45.9895	37.5575	44.72313	45.152	230.311	57.8787	36.2288
39.1592	86.5957	46.1754	37.6722	44.91825	45.3626	231.232	58.1246	36.4106
39.2803	86.8491	46.27	37.7942	45.06409	45.4257	231.358	58.3391	36.4482
39.3854	87.2392	46.4307	37.8775	45.21353	45.5025	231.416	58.7219	37.1509
39.551	87.444	46.6989	38.0229	45.37696	45.8157	232.781	58.9144	37.206
39.6632	87.7073	46.8366	38.0978	45.49337	45.8717	233.128	59.1858	37.3182
39.818	88.0684	47.0623	38.2739	45.62089	45.9766	233.199	59.6956	37.3766
39.9846	88.3687	47.2497	38.3747	45.77848	46.0677	233.254	59.907	37.5046
40.1031	88.6411	47.4234	38.5009	45.89289	46.1758	234.444	60.001	37.76
40.2106	88.9641	47.6084	38.5942	46.10097	46.308	234.859	60.2566	37.865
40.3303	89.2381	47.7176	38.6994	46.25121	46.4049	235.84	60.4709	38.1857
40.4462	89.5655	47.8654	38.7898	46.41881	46.4946	235.96	60.704	38.2408
40.6098	89.8663	47.9698	38.9665	46.59785	46.6249	236.448	60.9205	38.4954
